,PostalCode,AfterTaxIncome2015,Population_2016,Bourough,Neighborhood,Latitude,Longitude
59,M6H,56439.0,44950.0,West Toronto,"Dufferin, Dovercourt Village",43.66900510000001,-79.4422593
60,M1E,56128.0,46943.0,Scarborough,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115
61,M3L,55461.0,17339.0,North York,Downsview,43.7390146,-79.5069436
62,M9V,55443.0,55959.0,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",43.739416399999996,-79.5884369
63,M2N,55348.0,75897.0,North York,"Willowdale, Willowdale East",43.7701199,-79.40849279999999
64,M6E,55248.0,38041.0,York,Caledonia-Fairbanks,43.6890256,-79.453512
65,M1R,55016.0,29858.0,Scarborough,"Wexford, Maryvale",43.750071500000004,-79.2958491
66,M2M,54608.0,32320.0,North York,"Willowdale, Newtonbrook",43.789053,-79.40849279999999
67,M4B,54234.0,18628.0,East York,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937
68,M1H,53171.0,24383.0,Scarborough,Cedarbrae,43.773136,-79.23947609999999
69,M8V,53099.0,37975.0,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores",43.6056466,-79.50132070000001
70,M4P,52701.0,20039.0,Central Toronto,Davisville North,43.7127511,-79.3901975
71,M6N,52307.0,41243.0,York,"Runnymede, The Junction North",43.67318529999999,-79.48726190000001
72,M1P,51653.0,45571.0,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000001
73,M3C,51517.0,39153.0,North York,Don Mills,43.72589970000001,-79.340923
74,M2R,51172.0,40792.0,North York,"Willowdale, Willowdale West",43.7827364,-79.4422593
75,M1G,50870.0,29690.0,Scarborough,Woburn,43.7709921,-79.21691740000001
76,M6L,50729.0,20616.0,North York,"North Park, Maple Leaf Park, Upwood Park",43.713756200000006,-79.4900738
77,M1J,50704.0,36699.0,Scarborough,Scarborough Village,43.7447342,-79.23947609999999
78,M3M,50498.0,24046.0,North York,Downsview,43.7284964,-79.49569740000001
79,M3J,49804.0,25473.0,North York,"Northwood Park, York University",43.7679803,-79.48726190000001
80,M4A,49453.0,14443.0,North York,Victoria Village,43.725882299999995,-79.31557159999998
81,M1T,49272.0,34588.0,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan",43.7816375,-79.3043021
82,M6A,49060.0,21048.0,North York,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999
83,M1K,49001.0,48434.0,Scarborough,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002
84,M6M,48555.0,42434.0,York,"Del Ray, Mount Dennis, Keelsdale and Silverthorn",43.6911158,-79.47601329999999
85,M6K,48032.0,40957.0,West Toronto,"Brockton, Parkdale Village, Exhibition Place",43.6368472,-79.42819140000002
86,M5S,47241.0,15372.0,Downtown Toronto,"University of Toronto, Harbord",43.6626956,-79.4000493
87,M5A,46938.0,41078.0,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359
88,M4Y,46324.0,30472.0,Downtown Toronto,Church and Wellesley,43.6658599,-79.38315990000001
89,M9N,45952.0,25074.0,York,Weston,43.706876,-79.51818840000001
90,M5B,45227.0,12785.0,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999
91,M3N,45033.0,41958.0,North York,Downsview,43.7616313,-79.52099940000001
92,M5G,44704.0,8423.0,Downtown Toronto,Central Bay Street,43.6579524,-79.3873826
93,M4H,41979.0,19688.0,East York,Thorncliffe Park,43.7053689,-79.34937190000001
94,M5T,41047.0,17748.0,Downtown Toronto,"Kensington Market, Chinatown, Grange Park",43.6532057,-79.4000493
95,M4X,37555.0,20822.0,Downtown Toronto,"St. James Town, Cabbagetown",43.667967,-79.3676753
96,M5L,0.0,0.0,Downtown Toronto,"Commerce Court, Victoria Hotel",43.6481985,-79.37981690000001
97,M7R,0.0,,Mississauga,Canada Post Gateway Processing Centre,43.6369656,-79.61581899999999
98,M7A,0.0,10.0,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938
99,M5X,0.0,10.0,Downtown Toronto,"First Canadian Place, Underground city",43.6484292,-79.3822802
100,M5K,0.0,0.0,Downtown Toronto,"Toronto Dominion Centre, Design Exchange",43.6471768,-79.38157640000001
101,M7Y,0.0,10.0,East Toronto,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto",43.6627439,-79.321558
102,M5W,0.0,15.0,Downtown Toronto,Stn A PO Boxes,43.6464352,-79.37484599999999
